SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed,Recovery Rate,Death Rate
0,2/24/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,0,0
21,2/25/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,0,0
42,2/26/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,13,0,0
63,2/27/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,1,0,0,1,33,0,0
84,2/28/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,0,0,0,1,33,0,0
105,2/29/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,2,0,2,0,2,1,0,0,2,43,0,0
126,3/1/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,3,0,0,5,52,0,0
147,3/2/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,3,0,3,2,5,0,0,0,5,52,0,0
168,3/3/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,5,0,5,1,6,1,0,0,6,52,0,0
189,3/4/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,7,0,7,0,7,1,0,0,7,85,0,0
210,3/5/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,8,0,8,0,8,1,0,0,8,96,0,0
231,3/6/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,9,0,9,0,9,1,0,0,9,96,0,0
252,3/7/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,11,0,11,0,11,2,0,0,11,123,0,0
273,3/8/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,14,0,14,3,17,6,0,0,17,163,0,0
294,3/9/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,25,0,25,5,30,13,0,0,30,237,0,0
315,3/10/2020 18:00,ITA,13,Abruzzo,42.35122196,13.39843823,17,9,26,11,37,7,0,1,38,310,0,1
336,3/11/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,17,9,26,11,37,0,0,1,38,310,0,0
357,3/12/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,47,12,59,19,78,41,4,2,84,867,4,1
378,3/13/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,42,14,56,27,83,5,4,2,89,958,0,0
399,3/14/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,51,14,65,41,106,23,4,2,112,1232,0,0
420,3/15/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,72,28,100,28,128,22,6,3,137,1419,2,1
441,3/16/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,71,37,108,57,165,37,7,4,176,1533,1,1
462,3/17/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,94,32,126,90,216,51,7,6,229,1688,0,2
483,3/18/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,99,41,140,109,249,33,7,7,263,2054,0,1
504,3/19/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,181,47,228,138,366,117,8,11,385,2409,1,4
525,3/20/2020 17:00,ITA,13,Abruzzo,42.35122196,13.39843823,190,48,238,184,422,56,10,17,449,2695,2,6
1,2/24/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
22,2/25/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
43,2/26/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
64,2/27/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
85,2/28/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,0,0
106,2/29/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,32,0,0
127,3/1/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39,0,0
148,3/2/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,39,0,0
169,3/3/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,1,0,0,1,42,0,0
190,3/4/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,0,0,1,48,0,0
211,3/5/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,1,1,0,0,0,1,54,0,0
232,3/6/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,2,0,0,3,63,0,0
253,3/7/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,1,0,1,2,3,0,0,0,3,75,0,0
274,3/8/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,2,0,2,2,4,1,0,0,4,123,0,0
295,3/9/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,2,0,2,3,5,1,0,0,5,135,0,0
316,3/10/2020 18:00,ITA,17,Basilicata,40.63947052,15.80514834,2,0,2,5,7,2,0,0,7,148,0,0
337,3/11/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,6,8,1,0,0,8,155,0,0
358,3/12/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,6,8,0,0,0,8,155,0,0
379,3/13/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,1,1,2,8,10,2,0,0,10,155,0,0
400,3/14/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,2,2,8,10,0,0,0,10,155,0,0
421,3/15/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,0,2,2,9,11,1,0,0,11,208,0,0
442,3/16/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,1,2,3,9,12,1,0,0,12,230,0,0
463,3/17/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,5,2,7,13,20,8,0,0,20,262,0,0
484,3/18/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,9,2,11,16,27,7,0,0,27,262,0,0
505,3/19/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,8,5,13,24,37,10,0,0,37,353,0,0
526,3/20/2020 17:00,ITA,17,Basilicata,40.63947052,15.80514834,8,5,13,39,52,15,0,0,52,443,0,0
3,2/24/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,1,0,0
24,2/25/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,2,0,0
45,2/26/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,3,0,0
66,2/27/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,14,0,0
87,2/28/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,1,0,0,1,21,0,0
108,2/29/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,27,0,0
129,3/1/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,35,0,0
150,3/2/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,39,0,0
171,3/3/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,39,0,0
192,3/4/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,1,1,0,0,0,1,46,0,0
213,3/5/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,1,0,1,1,2,1,0,0,2,53,0,0
234,3/6/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,2,0,2,2,4,2,0,0,4,99,0,0
255,3/7/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,2,0,2,2,4,0,0,0,4,113,0,0
276,3/8/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,5,0,5,4,9,5,0,0,9,113,0,0
297,3/9/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,8,0,8,1,9,0,2,0,11,173,2,0
318,3/10/2020 18:00,ITA,18,Calabria,38.90597598,16.59440194,8,2,10,1,11,2,2,0,13,360,0,0
339,3/11/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,10,2,12,5,17,6,2,0,19,405,0,0
360,3/12/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,14,2,16,16,32,15,1,0,33,483,-1,0
381,3/13/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,18,3,21,16,37,5,1,0,38,504,0,0
402,3/14/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,22,4,26,33,59,22,1,0,60,711,0,0
423,3/15/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,32,6,38,28,66,7,1,1,68,884,0,1
444,3/16/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,36,7,43,44,87,21,1,1,89,1030,0,0
465,3/17/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,45,10,55,57,112,25,1,1,114,1293,0,0
486,3/18/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,45,11,56,70,126,14,2,1,129,1668,1,0
507,3/19/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,60,13,73,91,164,38,2,3,169,2342,0,2
528,3/20/2020 17:00,ITA,18,Calabria,38.90597598,16.59440194,71,16,87,114,201,37,2,4,207,2690,0,1
